scenario,link,metric,time,type
home,3g,communication,106.471308,base
home,4g,communication,104.33345,base
home,wifi,communication,104.383508,base
home,zigbee,communication,111.676488,base
home,ethernet,communication,101.952312,base
farm,3g,communication,107.828669,base
farm,4g,communication,105.069185,base
farm,wifi,communication,104.862211,base
farm,zigbee,communication,111.211533,base
farm,ethernet,communication,102.596697,base
synth,3g,communication,NaN,base
synth,4g,communication,NaN,base
synth,wifi,communication,NaN,base
synth,zigbee,communication,NaN,base
synth,ethernet,communication,178.352926,base
home,3g,communication,103.769462,MQuicTT
home,4g,communication,101.611664,MQuicTT
home,wifi,communication,102.057809,MQuicTT
home,zigbee,communication,110.463987,MQuicTT
home,ethernet,communication,100.167739,MQuicTT
farm,3g,communication,104.104669,MQuicTT
farm,4g,communication,102.295258,MQuicTT
farm,wifi,communication,102.220152,MQuicTT
farm,zigbee,communication,110.273018,MQuicTT
farm,ethernet,communication,100.148721,MQuicTT
synth,3g,communication,168.614373,MQuicTT
synth,4g,communication,160.1501436,MQuicTT
synth,wifi,communication,165.639824,MQuicTT
synth,zigbee,communication,177.847019,MQuicTT
synth,ethernet,communication,153.727429,MQuicTT
