scenario,link,metric,time,type
synth,3g,communication,169.901825,base
synth,4g,communication,147.821312,base
synth,wifi,communication,156.812631,base
synth,zigbee,communication,162.972187,base
synth,ethernet,communication,158.352926,base
synth,3g,communication,168.614373,MQuicTT
synth,4g,communication,160.1501436,MQuicTT
synth,wifi,communication,165.639824,MQuicTT
synth,zigbee,communication,177.847019,MQuicTT
synth,ethernet,communication,153.727429,MQuicTT
synth,3g,communication,143.660452,base
synth,4g,communication,146.576901,base
synth,wifi,communication,160.918234,base
synth,zigbee,communication,198.129031,base
synth,ethernet,communication,161.950921,base
synth,3g,communication,145.008360,MQuicTT
synth,4g,communication,155.345639,MQuicTT
synth,wifi,communication,156.198354,MQuicTT
synth,zigbee,communication,184.320654,MQuicTT
synth,ethernet,communication,147.578331,MQuicTT
synth,3g,communication,131.236237,base
synth,4g,communication,156.538423,base
synth,wifi,communication,138.374344,base
synth,zigbee,communication,167.738273,base
synth,ethernet,communication,142.437120,base
synth,3g,communication,127.174128,MQuicTT
synth,4g,communication,114.387382,MQuicTT
synth,wifi,communication,133.904835,MQuicTT
synth,zigbee,communication,171.823445,MQuicTT
synth,ethernet,communication,137.327474,MQuicTT
synth,3g,communication,191.763611,base
synth,4g,communication,138.182731,base
synth,wifi,communication,147.928137,base
synth,zigbee,communication,151.723901,base
synth,ethernet,communication,144.072719,base
synth,3g,communication,187.871231,MQuicTT
synth,4g,communication,128.086435,MQuicTT
synth,wifi,communication,151.912631,MQuicTT
synth,zigbee,communication,138.071713,MQuicTT
synth,ethernet,communication,141.127910,MQuicTT
synth,3g,communication,162.907831,base
synth,4g,communication,133.586344,base
synth,wifi,communication,141.778123,base
synth,zigbee,communication,160.027309,base
synth,ethernet,communication,144.877312,base
synth,3g,communication,157.304456,MQuicTT
synth,4g,communication,133.892311,MQuicTT
synth,wifi,communication,134.190273,MQuicTT
synth,zigbee,communication,148.983247,MQuicTT
synth,ethernet,communication,137.873211,MQuicTT
