scenario,link,metric,time,type
home,3g,transport connection,19.742,base
home,4g,transport connection,11.038,base
home,wifi,transport connection,3.835,base
home,zigbee,transport connection,4.220,base
home,ethernet,transport connection,1.571,base
farm,3g,transport connection,25.137,base
farm,4g,transport connection,14.137,base
farm,wifi,transport connection,9.137,base
farm,zigbee,transport connection,6.053,base
farm,ethernet,transport connection,2.171,base
synth,3g,transport connection,NaN,base
synth,4g,transport connection,NaN,base
synth,wifi,transport connection,NaN,base
synth,zigbee,transport connection,NaN,base
synth,ethernet,transport connection,10.717,base
home,3g,transport connection,31.456,MQuicTT
home,4g,transport connection,19.363,MQuicTT
home,wifi,transport connection,7.263,MQuicTT
home,zigbee,transport connection,5.681,MQuicTT
home,ethernet,transport connection,1.486,MQuicTT
farm,3g,transport connection,19.201,MQuicTT
farm,4g,transport connection,11.827,MQuicTT
farm,wifi,transport connection,9.028,MQuicTT
farm,zigbee,transport connection,6.03,MQuicTT
farm,ethernet,transport connection,1.555,MQuicTT
synth,3g,transport connection,92.295,MQuicTT
synth,4g,transport connection,60.551,MQuicTT
synth,wifi,transport connection,20.929,MQuicTT
synth,zigbee,transport connection,38.142,MQuicTT
synth,ethernet,transport connection,3.876,MQuicTT
