scenario,link,metric,time,type
farm,3g,transport connection,25.137,base
farm,4g,transport connection,14.137,base
farm,wifi,transport connection,9.137,base
farm,zigbee,transport connection,6.353,base
farm,ethernet,transport connection,2.171,base
farm,3g,transport connection,19.201,MQuicTT
farm,4g,transport connection,11.827,MQuicTT
farm,wifi,transport connection,9.028,MQuicTT
farm,zigbee,transport connection,6.03,MQuicTT
farm,ethernet,transport connection,1.555,MQuicTT
farm,3g,transport connection,17.167,base
farm,4g,transport connection,13.789,base
farm,wifi,transport connection,11.034,base
farm,zigbee,transport connection,5.181,base
farm,ethernet,transport connection,1.184,base
farm,3g,transport connection,17.104,MQuicTT
farm,4g,transport connection,12.712,MQuicTT
farm,wifi,transport connection,9.091,MQuicTT
farm,zigbee,transport connection,5.172,MQuicTT
farm,ethernet,transport connection,1.671,MQuicTT
farm,3g,transport connection,23.118,base
farm,4g,transport connection,17.249,base
farm,wifi,transport connection,12.171,base
farm,zigbee,transport connection,5.781,base
farm,ethernet,transport connection,2.331,base
farm,3g,transport connection,19.198,MQuicTT
farm,4g,transport connection,15.018,MQuicTT
farm,wifi,transport connection,11.012,MQuicTT
farm,zigbee,transport connection,5.772,MQuicTT
farm,ethernet,transport connection,1.943,MQuicTT
farm,3g,transport connection,20.234,base
farm,4g,transport connection,15.019,base
farm,wifi,transport connection,11.134,base
farm,zigbee,transport connection,5.173,base
farm,ethernet,transport connection,1.731,base
farm,3g,transport connection,20.142,MQuicTT
farm,4g,transport connection,14.914,MQuicTT
farm,wifi,transport connection,9.915,MQuicTT
farm,zigbee,transport connection,5.091,MQuicTT
farm,ethernet,transport connection,1.733,MQuicTT
farm,3g,transport connection,21.813,base
farm,4g,transport connection,16.119,base
farm,wifi,transport connection,10.126,base
farm,zigbee,transport connection,6.416,base
farm,ethernet,transport connection,2.482,base
farm,3g,transport connection,16.973,MQuicTT
farm,4g,transport connection,15.146,MQuicTT
farm,wifi,transport connection,10.781,MQuicTT
farm,zigbee,transport connection,6.681,MQuicTT
farm,ethernet,transport connection,2.125,MQuicTT
