scenario,link,metric,time,type
home,3g,transport connection,19.742,base
home,4g,transport connection,11.038,base
home,wifi,transport connection,3.835,base
home,zigbee,transport connection,4.220,base
home,ethernet,transport connection,1.571,base
home,3g,transport connection,31.456,MQuicTT
home,4g,transport connection,19.363,MQuicTT
home,wifi,transport connection,7.263,MQuicTT
home,zigbee,transport connection,5.681,MQuicTT
home,ethernet,transport connection,1.486,MQuicTT
home,3g,transport connection,21.343,base
home,4g,transport connection,14.218,base
home,wifi,transport connection,4.023,base
home,zigbee,transport connection,6.823,base
home,ethernet,transport connection,1.091,base
home,3g,transport connection,22.901,MQuicTT
home,4g,transport connection,17.082,MQuicTT
home,wifi,transport connection,10.911,MQuicTT
home,zigbee,transport connection,4.819,MQuicTT
home,ethernet,transport connection,1.012,MQuicTT
home,3g,transport connection,18.218,base
home,4g,transport connection,16.031,base
home,wifi,transport connection,7.028,base
home,zigbee,transport connection,5.283,base
home,ethernet,transport connection,1.911,base
home,3g,transport connection,16.127,MQuicTT
home,4g,transport connection,15.823,MQuicTT
home,wifi,transport connection,8.475,MQuicTT
home,zigbee,transport connection,7.043,MQuicTT
home,ethernet,transport connection,1.834,MQuicTT
home,3g,transport connection,22.901,base
home,4g,transport connection,14.264,base
home,wifi,transport connection,8.128,base
home,zigbee,transport connection,4.022,base
home,ethernet,transport connection,2.012,base
home,3g,transport connection,22.907,MQuicTT
home,4g,transport connection,21.011,MQuicTT
home,wifi,transport connection,9.171,MQuicTT
home,zigbee,transport connection,5.091,MQuicTT
home,ethernet,transport connection,2.186,MQuicTT
home,3g,transport connection,27.343,base
home,4g,transport connection,17.197,base
home,wifi,transport connection,11.129,base
home,zigbee,transport connection,7.917,base
home,ethernet,transport connection,1.791,base
home,3g,transport connection,28.013,MQuicTT
home,4g,transport connection,22.198,MQuicTT
home,wifi,transport connection,7.451,MQuicTT
home,zigbee,transport connection,7.632,MQuicTT
home,ethernet,transport connection,1.981,MQuicTT
