scenario,link,metric,time,type
synth,3g,transport connection,87.817,base
synth,4g,transport connection,65.174,base
synth,wifi,transport connection,23.183,base
synth,zigbee,transport connection,39.891,base
synth,ethernet,transport connection,4.717,base
synth,3g,transport connection,92.295,MQuicTT
synth,4g,transport connection,60.551,MQuicTT
synth,wifi,transport connection,20.929,MQuicTT
synth,zigbee,transport connection,38.142,MQuicTT
synth,ethernet,transport connection,3.876,MQuicTT
synth,3g,transport connection,92.489,base
synth,4g,transport connection,60.978,base
synth,wifi,transport connection,29.091,base
synth,zigbee,transport connection,41.110,base
synth,ethernet,transport connection,5.847,base
synth,3g,transport connection,88.823,MQuicTT
synth,4g,transport connection,57.818,MQuicTT
synth,wifi,transport connection,23.510,MQuicTT
synth,zigbee,transport connection,33.741,MQuicTT
synth,ethernet,transport connection,4.176,MQuicTT
synth,3g,transport connection,88.904,base
synth,4g,transport connection,70.878,base
synth,wifi,transport connection,31.254,base
synth,zigbee,transport connection,47.981,base
synth,ethernet,transport connection,3.847,base
synth,3g,transport connection,81.973,MQuicTT
synth,4g,transport connection,54.084,MQuicTT
synth,wifi,transport connection,27.971,MQuicTT
synth,zigbee,transport connection,40.673,MQuicTT
synth,ethernet,transport connection,5.101,MQuicTT
synth,3g,transport connection,91.093,base
synth,4g,transport connection,62.761,base
synth,wifi,transport connection,23.354,base
synth,zigbee,transport connection,51.016,base
synth,ethernet,transport connection,4.137,base
synth,3g,transport connection,87.971,MQuicTT
synth,4g,transport connection,51.761,MQuicTT
synth,wifi,transport connection,24.908,MQuicTT
synth,zigbee,transport connection,44.004,MQuicTT
synth,ethernet,transport connection,4.708,MQuicTT
synth,3g,transport connection,84.891,base
synth,4g,transport connection,59.791,base
synth,wifi,transport connection,27.014,base
synth,zigbee,transport connection,55.761,base
synth,ethernet,transport connection,6.037,base
synth,3g,transport connection,81.015,MQuicTT
synth,4g,transport connection,49.917,MQuicTT
synth,wifi,transport connection,26.071,MQuicTT
synth,zigbee,transport connection,51.174,MQuicTT
synth,ethernet,transport connection,5.106,MQuicTT
