scenario,link,metric,time
home,3g,transport connection,0.36933
home,4g,transport connection,0.151377
home,wifi,transport connection,0.037535
home,zigbee,transport connection,0.042202
home,ethernet,transport connection,0.015711
farm,3g,transport connection,1.097422
farm,4g,transport connection,0.110383
farm,wifi,transport connection,0.042835
farm,zigbee,transport connection,0.060533
farm,ethernet,transport connection,0.002171
synth,3g,transport connection,-1
synth,4g,transport connection,-1
synth,wifi,transport connection,-1
synth,zigbee,transport connection,-1
synth,ethernet,transport connection,0.010717
